Username,Level Category,Level Number,Level Name,Reactor Count,Cycle Count,Symbol Count,Upload Time,Youtube Link
Andy,63corvi,1,QT-1,1,15,14,2011-07-06 23:36:38.994037,
Meynolds,63corvi,1,QT-1,1,15,20,2013-04-26 14:37:14.877332,
Spiff,63corvi,1,QT-1,1,15,14,2013-09-05 05:23:40.042774,""
Manabender,63corvi,1,QT-1,1,15,20,2013-04-29 21:24:56.588299,
Phlamethrower,63corvi,1,QT-1,1,15,20,2011-10-31 18:04:34.6939,
Lemonymous,63corvi,1,QT-1,1,15,20,2015-02-04 03:21:41.534149,
Sahishar,63corvi,1,QT-1,1,15,14,2012-01-02 02:03:21.5768,""
Malizia,63corvi,1,QT-1,1,15,20,2012-08-04 17:24:44.703231,
postgoodism,63corvi,1,QT-1,1,15,14,2012-05-10 21:28:52.877272,
ants280,63corvi,1,QT-1,1,15,14,2013-11-02 13:16:21.720621,
Scigatt,63corvi,1,QT-1,1,15,20,2011-07-14 02:40:03.402504,
JacobBuysse,63corvi,1,QT-1,1,15,20,2012-12-27 20:55:32.478892,
Bashy_McFetus,63corvi,1,QT-1,1,15,20,2011-10-15 21:46:20.075401,
jamesp,63corvi,1,QT-1,1,15,21,2013-09-16 06:43:32.768734,
JackieChad,63corvi,1,QT-1,1,15,14,2011-07-14 07:00:17.779937,
ToughThought,63corvi,1,QT-1,1,15,14,2013-06-07 13:54:39.460606,
Saighdiur,63corvi,1,QT-1,1,15,14,2012-02-05 14:03:55.4327,
pfayze,63corvi,1,QT-1,1,15,20,2013-05-19 19:46:35.42618,
bleees,63corvi,1,QT-1,1,15,22,2011-07-24 10:06:04.536033,
ShadowTheAge,63corvi,1,QT-1,1,15,20,2014-02-09 08:46:38.18058,
bnordli,63corvi,1,QT-1,1,15,20,2011-11-14 15:39:39.515818,
Leylite,63corvi,1,QT-1,1,15,20,2013-06-14 18:35:15.509741,
GusTheCrocodile,63corvi,1,QT-1,1,15,20,2011-10-23 05:46:52.916977,
Zemyla,63corvi,1,QT-1,1,15,20,2012-10-29 17:47:25.155524,
Carlbunk,63corvi,1,QT-1,1,15,20,2012-01-29 21:02:17.669477,
Louif,63corvi,1,QT-1,1,15,35,2012-09-23 22:57:05.91011,
SirStrider,63corvi,1,QT-1,1,15,20,2011-11-26 20:50:41.760215,
ysnr510,63corvi,1,QT-1,1,15,20,2012-08-06 03:00:56.455444,
sboparen,63corvi,1,QT-1,1,15,14,2012-12-11 20:51:32.262013,
WhiteFang34,63corvi,1,QT-1,1,15,20,2013-01-20 04:12:19.715333,
NoonKnight,63corvi,1,QT-1,1,15,20,2012-03-12 02:02:54.857105,
WildM,63corvi,1,QT-1,1,15,20,2014-03-29 19:42:15.162114,
zuluthrone,63corvi,1,QT-1,1,15,20,2011-12-24 19:58:55.388596,
nekojita,63corvi,1,QT-1,1,15,20,2013-03-28 04:21:08.527174,
EvilPartisan,63corvi,1,QT-1,1,15,20,2011-12-24 09:59:01.18788,
hobsen,63corvi,1,QT-1,1,15,20,2012-10-03 13:38:24.760193,
GuavaMoment,63corvi,1,QT-1,1,15,20,2011-10-31 20:25:12.675667,
zeroth_hour,63corvi,1,QT-1,1,15,20,2012-06-02 20:20:19.343529,
CopyOfNewFolder,63corvi,1,QT-1,1,15,20,2014-11-02 14:41:54.286534,
Gymble,63corvi,1,QT-1,1,15,20,2013-02-07 14:57:25.736847,
Risa_G,63corvi,1,QT-1,1,15,14,2013-10-04 12:10:04.160179,
Vordeka,63corvi,1,QT-1,1,15,20,2013-12-12 08:42:08.45409,
Regory,63corvi,1,QT-1,1,15,20,2011-09-06 15:15:01.747492,
sethorizer,63corvi,1,QT-1,1,15,20,2014-10-26 05:44:41.544446,
Al-Lexx,63corvi,1,QT-1,1,15,20,2011-07-25 12:00:21.89927,
JonesR,63corvi,1,QT-1,1,15,20,2013-03-11 02:03:06.997274,
shadowphiar,63corvi,1,QT-1,1,15,22,2011-08-15 17:32:54.579825,
AthlonBoy,63corvi,1,QT-1,1,15,20,2012-09-21 19:13:37.913747,
Spiffamoo,63corvi,1,QT-1,1,15,20,2011-09-20 22:33:26.376376,
Blueeyedrat,63corvi,1,QT-1,1,15,20,2012-11-15 18:33:45.372717,
cake-pie,63corvi,1,QT-1,1,15,20,2011-07-13 04:43:31.427389,
Ephedra,63corvi,1,QT-1,1,15,34,2012-01-29 13:23:11.036175,
Darkhogg,63corvi,1,QT-1,1,15,20,2011-07-10 09:38:50.384873,
iestyn,63corvi,1,QT-1,1,15,20,2012-09-24 21:11:16.485802,
hailstone,63corvi,1,QT-1,1,15,14,2011-07-30 15:26:04.7915,
AapOpSokken,63corvi,1,QT-1,1,15,20,2014-03-13 10:27:53.161236,
cearn,63corvi,1,QT-1,1,15,20,2012-05-12 08:46:58.157019,
CaitSith2,63corvi,1,QT-1,1,15,20,2011-10-10 22:58:05.193931,
JesusMonster,63corvi,1,QT-1,1,15,20,2011-10-10 15:21:52.641058,
Jaybert,63corvi,1,QT-1,1,16,20,2012-07-02 07:51:15.913764,
macsyrinx,63corvi,1,QT-1,1,16,32,2011-11-11 15:20:09.782015,
Wobble,63corvi,1,QT-1,1,16,20,2012-05-08 19:56:09.409658,
acw1251,63corvi,1,QT-1,1,16,20,2011-07-04 22:51:17.777408,
FFLaguna,63corvi,1,QT-1,1,16,61,2012-04-07 23:51:57.004534,
kanigget,63corvi,1,QT-1,1,16,12,2014-09-25 09:18:04.770926,
Hundur,63corvi,1,QT-1,1,16,40,2012-01-22 17:39:01.35883,
jonypawks,63corvi,1,QT-1,1,19,14,2013-04-12 21:13:19.642946,
zeroth_hour,63corvi,1,QT-1,1,19,14,2012-05-19 18:58:06.09799,
undu,63corvi,1,QT-1,1,20,5,2012-06-05 04:38:50.281682,
trundo,63corvi,1,QT-1,1,20,7,2012-08-29 07:52:14.890232,
Kullimarsu,63corvi,1,QT-1,1,20,5,2012-01-15 07:36:04.468832,
Tiralmo,63corvi,1,QT-1,1,20,5,2014-07-22 22:30:05.128033,
Spiff,63corvi,1,QT-1,1,20,5,2013-09-05 05:26:56.652435,""
